"","Colony","Distance","Mass","Headwidth","Headwidth..mm.","Size.class"
"1","1",1,109,"45.000",1.895,">43"
"2","1",1,120,"43.000",1.811,"40-43"
"3","1",1,94,"42.000",1.768,"40-43"
"4","1",1,61,"33.000",1.389,"30-34"
"5","1",1,72,"41.000",1.726,"40-43"
"6","1",1,134,"46.000",1.937,">43"
"7","1",1,94,"43.000",1.811,"40-43"
"8","1",1,113,"42.000",1.768,"40-43"
"9","1",1,111,"42.000",1.768,"40-43"
"10","1",1,106,"43.000",1.811,"40-43"
"11","1",1,107,"46.000",1.937,">43"
"12","1",1,96,"42.000",1.768,"40-43"
"13","1",1,53,"33.000",1.389,"30-34"
"14","1",1,121,"44.000",1.853,">43"
"15","1",1,85,"44.000",1.853,">43"
"16","1",1,115,"45.000",1.895,">43"
"17","1",1,109,"46.000",1.937,">43"
"18","1",1,105,"39.000",1.642,"35-39"
"19","1",1,93,"39.000",1.642,"35-39"
"20","1",1,103,"42.000",1.768,"40-43"
"21","1",1,110,"44.000",1.853,">43"
"22","1",1,94,"40.000",1.684,"40-43"
"23","1",4,91,"42.000",1.768,"40-43"
"24","1",4,161,"46.000",1.937,">43"
"25","1",4,44,"28.000",1.179,"<30"
"26","1",4,87,"40.000",1.684,"40-43"
"27","1",4,107,"46.000",1.937,">43"
"28","1",4,107,"41.000",1.726,"40-43"
"29","1",4,86,"40.000",1.684,"40-43"
"30","1",4,91,"38.000",1.6,"35-39"
"31","1",4,156,"43.000",1.811,"40-43"
"32","1",4,95,"43.000",1.811,"40-43"
"33","1",4,95,"42.000",1.768,"40-43"
"34","1",4,98,"42.000",1.768,"40-43"
"35","1",4,72,"37.000",1.558,"35-39"
"36","1",4,76,"39.000",1.642,"35-39"
"37","1",4,154,"43.000",1.811,"40-43"
"38","1",4,34,"28.000",1.179,"<30"
"39","1",4,125,"47.000",1.979,">43"
"40","1",4,51,"32.000",1.347,"30-34"
"41","1",4,83,"39.000",1.642,"35-39"
"42","1",4,36,"29.000",1.221,"<30"
"43","1",4,105,"42.000",1.768,"40-43"
"44","1",4,63,"36.000",1.516,"35-39"
"45","1",4,49,"33.000",1.389,"30-34"
"46","1",4,91,"42.000",1.768,"40-43"
"47","1",4,104,"43.000",1.811,"40-43"
"48","1",4,93,"45.000",1.895,">43"
"49","1",4,84,"43.000",1.811,"40-43"
"50","1",4,95,"43.000",1.811,"40-43"
"51","1",4,80,"38.000",1.6,"35-39"
"52","1",4,74,"39.000",1.642,"35-39"
"53","1",4,96,"43.000",1.811,"40-43"
"54","1",4,149,"44.000",1.853,">43"
"55","1",4,107,"44.000",1.853,">43"
"56","1",4,98,"42.000",1.768,"40-43"
"57","1",4,110,"46.000",1.937,">43"
"58","1",7,115,"45.000",1.895,">43"
"59","1",7,107,"41.000",1.726,"40-43"
"60","1",7,105,"42.000",1.768,"40-43"
"61","1",7,96,"43.000",1.811,"40-43"
"62","1",7,70,"37.000",1.558,"35-39"
"63","1",7,96,"42.000",1.768,"40-43"
"64","1",7,127,"43.000",1.811,"40-43"
"65","1",7,131,"45.000",1.895,">43"
"66","1",7,104,"40.000",1.684,"40-43"
"67","1",7,126,"46.000",1.937,">43"
"68","1",7,83,"42.000",1.768,"40-43"
"69","1",7,108,"43.000",1.811,"40-43"
"70","1",7,99,"42.000",1.768,"40-43"
"71","1",7,92,"42.000",1.768,"40-43"
"72","1",7,103,"47.000",1.979,">43"
"73","1",7,104,"42.000",1.768,"40-43"
"74","1",7,107,"42.000",1.768,"40-43"
"75","1",7,120,"45.000",1.895,">43"
"76","1",7,112,"43.000",1.811,"40-43"
"77","1",7,97,"41.000",1.726,"40-43"
"78","1",7,94,"42.000",1.768,"40-43"
"79","1",7,92,"40.000",1.684,"40-43"
"80","1",10,123,"44.000",1.853,">43"
"81","1",10,72,"33.000",1.389,"30-34"
"82","1",10,92,"40.000",1.684,"40-43"
"83","1",10,75,"38.000",1.6,"35-39"
"84","1",10,110,"46.000",1.937,">43"
"85","1",10,97,"43.000",1.811,"40-43"
"86","1",10,93,"41.000",1.726,"40-43"
"87","1",10,88,"43.000",1.811,"40-43"
"88","1",10,82,"42.000",1.768,"40-43"
"89","1",10,101,"43.000",1.811,"40-43"
"90","1",10,110,"41.000",1.726,"40-43"
"91","1",10,75,"37.000",1.558,"35-39"
"92","1",10,81,"40.000",1.684,"40-43"
"93","1",10,99,"43.000",1.811,"40-43"
"94","1",10,103,"43.000",1.811,"40-43"
"95","1",10,114,"46.000",1.937,">43"
"96","1",10,101,"46.000",1.937,">43"
"97","1",10,77,"42.000",1.768,"40-43"
"98","1",10,125,"47.000",1.979,">43"
"99","1",10,90,"39.000",1.642,"35-39"
"100","1",0,163,"46.000",1.937,">43"
"101","1",0,102,"39.000",1.642,"35-39"
"102","1",0,144,"48.000",2.021,">43"
"103","1",0,115,"43.000",1.811,"40-43"
"104","1",0,108,"43.000",1.811,"40-43"
"105","1",0,68,"34.000",1.432,"30-34"
"106","1",0,107,"42.000",1.768,"40-43"
"107","1",0,141,"42.000",1.768,"40-43"
"108","1",0,111,"42.000",1.768,"40-43"
"109","1",0,55,"32.000",1.347,"30-34"
"110","1",0,112,"42.000",1.768,"40-43"
"111","1",0,100,"39.000",1.642,"35-39"
